1	2	1	1	1
1	3	1	2	2
1	8	1	3	3
2	1	1	4	1
2	3	1	5	4
2	4	1	6	5
3	1	1	7	2
3	2	1	8	4
3	6	1	9	6
4	2	1	10	5
4	5	1	11	7
4	11	1	12	8
5	4	1	13	7
5	6	1	14	9
5	7	1	15	10
6	3	1	16	6
6	5	1	17	9
6	10	1	18	11
6	14	1	19	12
7	5	1	20	10
7	8	1	21	13
8	1	1	22	3
8	7	1	23	13
8	9	1	24	14
9	8	1	25	14
9	10	1	26	15
9	12	1	27	16
9	13	1	28	17
10	6	1	29	11
10	9	1	30	15
11	4	1	31	8
11	12	1	32	18
11	13	1	33	19
12	9	1	34	16
12	11	1	35	18
12	14	1	36	20
13	9	1	37	17
13	11	1	38	19
13	14	1	39	21
14	6	1	40	12
14	12	1	41	20
14	13	1	42	21
